HSC J022013-050729 02 20 13.03 -05 07 29.7 2.169 22.7 22.7 22.6 22.3 22.4 21.7 NB387 AGN          Co11
HSC J022028-045802 02 20 28.96 -04 58 02.8 2.157 20.4 20.5 20.3 20.0 20.1 19.1 NB387 AGN          Co11, Ly20
HSC J022044-050906 02 20 44.46 -05 09 06.1 2.105 20.8 20.8 20.8 20.5 20.6 20.0 NB387 AGN          Li15, Sc18, Ly20
HSC J022120-032353 02 21 20.93 -03 23 53.5 2.183 22.6 22.5 22.4 22.2 22.3 21.2 NB387 AGN          Ly20
HSC J022121-034338 02 21 21.16 -03 43 38.1 2.176 23.1 23.2 23.0 22.7 22.7 21.9 NB387 AGN          Ly20
HSC J022202-050352 02 22 02.59 -05 03 52.0 2.161 21.6 21.6 21.6 21.3 21.5 20.4 NB387 AGN          Ly20
HSC J022219-052231 02 22 19.96 -05 22 31.5 2.204 20.4 20.3 20.3 20.0 20.1 19.3 NB387 AGN          Li15, Ly20
HSC J022230-033545 02 22 30.42 -03 35 45.4 2.172 22.1 22.4 22.1 21.7 21.9 20.0 NB387 AGN          Ly20
HSC J022312-050625 02 23 12.46 -05 06 25.1 2.190 20.1 20.1 20.1 19.9 19.9 19.1 NB387 AGN          Ly20
HSC J022349-033930 02 23 49.43 -03 39 30.6 2.141 20.9 20.8 20.8 20.5 20.7 20.0 NB387 AGN          Ly20
HSC J022351-044730 02 23 51.07 -04 47 30.0 2.167 20.7 20.6 20.6 20.3 20.4 19.6 NB387 AGN          Ly20
HSC J022435-053615 02 24 35.54 -05 36 15.6 2.217 22.0 22.0 21.9 21.6 21.7 21.1 NB387 AGN          Li15, Ly20
HSC J022548-041028 02 25 48.98 -04 10 28.4 2.124 23.8 23.7 23.5 23.1 23.1 22.5 NB387              Li15
HSC J022722-045221 02 27 22.20 -04 52 21.9 2.127 21.6 21.7 21.6 21.3 21.5 20.7 NB387 AGN          Ly20
HSC J022751-050101 02 27 51.25 -05 01 01.3 2.175 21.6 21.9 21.8 21.3 21.5 20.6 NB387 AGN          Li15, Ly20
HSC J095508+011205 09 55 08.45 +01 12 05.7 2.166 21.8 21.9 21.6 21.3 21.5 19.9 NB387 AGN          Ly20
HSC J095539+011316 09 55 39.50 +01 13 16.4 2.142 21.6 21.6 21.6 21.1 21.4 20.5 NB387 AGN          Ly20
HSC J095714+013145 09 57 14.02 +01 31 45.5 2.142 21.7 21.6 21.4 21.0 21.1 20.1 NB387 AGN          Ly20
HSC J095822+010806 09 58 22.03 +01 08 06.4 2.171 20.7 20.6 20.6 20.3 20.4 19.4 NB387 AGN          Ly20
HSC J095944+020742 09 59 44.25 +02 07 42.7 2.191 24.8 24.8 24.9 24.8 24.9 23.6 NB387              Sh14
HSC J095945+022808 09 59 45.98 +02 28 08.0 2.174 24.9 24.8 24.8 24.7 24.9 23.7 NB387              Sh14
HSC J095954+022630 09 59 54.39 +02 26 30.0 2.194 24.9 24.6 24.3 23.9 23.7 23.3 NB387              Sh14
HSC J095950+020347 09 59 50.74 +02 03 47.7 2.184 24.5 24.5 24.5 24.4 24.4 23.2 NB387              Has18
HSC J095959+020531 09 59 59.06 +02 05 31.6 2.182 25.7 25.6 25.6 25.6 25.8 24.6 NB387              Sh14
HSC J095959+020838 09 59 59.38 +02 08 38.4 2.163 24.5 24.5 24.5 24.5 24.5 22.9 NB387              Sh14
HSC J100012+021750 10 00 12.56 +02 17 50.4 2.161 24.4 24.3 24.3 24.3 24.4 23.3 NB387              Kr15
HSC J100015+020807 10 00 15.26 +02 08 07.4 2.161 24.7 24.6 24.6 24.6 24.6 23.8 NB387              Sh14
HSC J100017+030525 10 00 17.73 +03 05 25.0 2.174 20.7 20.9 20.4 20.1 20.4 18.8 NB387 AGN          Ly20
HSC J100025+022357 10 00 25.98 +02 23 57.4 2.169 23.9 23.8 23.7 23.6 23.4 23.1 NB387              Mo16
HSC J100032+021535 10 00 32.66 +02 15 35.6 2.157 26.5 26.2 26.2 26.2 26.5 25.5 NB387              Kr15, Mo16
HSC J100047+020757 10 00 47.75 +02 07 57.0 2.153 19.9 19.8 19.7 19.4 19.5 18.8 NB387 AGN          Li09, Ly20
HSC J100102+011948 10 01 02.16 +01 19 48.6 2.146 19.7 19.7 19.6 19.4 19.6 18.8 NB387 AGN          Ly20
HSC J100146+033040 10 01 46.03 +03 30 40.1 2.212 22.4 22.5 22.2 21.7 22.2 21.2 NB387 AGN          Ly20
HSC J160328+545715 16 03 28.75 +54 57 15.0 2.142 21.2 21.3 21.1 20.9 21.0 20.2 NB387 AGN          Ly20
HSC J160554+544859 16 05 54.66 +54 48 59.5 2.159 21.4 21.6 21.5 21.2 21.4 20.0 NB387 AGN          Ly20
HSC J160611+542447 16 06 11.62 +54 24 47.5 2.198 20.4 20.5 20.4 20.1 20.3 19.5 NB387 AGN          Ly20
HSC J161105+532237 16 11 05.06 +53 22 37.9 2.182 21.6 21.8 21.6 21.2 21.5 20.1 NB387 AGN          Ly20
HSC J161129+545055 16 11 29.04 +54 50 55.5 2.108 20.4 20.4 20.3 20.1 20.2 19.6 NB387 AGN          Ly20
HSC J161327+541256 16 13 27.44 +54 12 56.2 2.155 21.3 21.3 21.1 20.8 20.9 20.0 NB387 AGN          Ly20
HSC J161432+543903 16 14 32.77 +54 39 03.7 2.193 21.6 21.7 21.5 21.2 21.4 20.1 NB387 AGN          Ly20
HSC J161552+553101 16 15 52.16 +55 31 01.9 2.160 21.2 21.5 21.3 21.1 21.2 20.0 NB387 AGN          Ly20
HSC J232147-010038 23 21 47.17 -01 00 38.9 2.177 21.3 21.2 21.0 20.7 20.7 20.1 NB387 AGN          Ly20
HSC J232459+001451 23 24 59.70 +00 14 51.2 2.172 21.3 21.2 21.1 20.8 20.9 19.6 NB387 AGN          Ly20
HSC J232506-012203 23 25 06.73 -01 22 03.4 2.181 20.3 20.3 20.3 20.1 20.2 19.3 NB387 AGN          Ly20
HSC J232608-011540 23 26 08.69 -01 15 40.3 2.194 22.7 22.6 22.3 21.8 21.9 21.1 NB387 AGN          Ly20
HSC J232614+003249 23 26 14.28 +00 32 49.2 2.180 20.8 20.5 20.4 20.2 20.2 19.6 NB387 AGN          Ly20
HSC J232619+000152 23 26 19.36 +00 01 52.7 2.173 22.1 22.1 21.9 21.5 21.7 21.0 NB387 AGN          Ly20
HSC J232649-000010 23 26 49.36 -00 00 10.1 2.168 22.7 22.6 22.3 21.7 21.9 21.1 NB387 AGN          Ly20
HSC J232855-004212 23 28 55.78 -00 42 12.2 2.198 20.5 20.4 20.1 19.8 19.9 19.0 NB387 AGN          Ly20
HSC J233159+000856 23 31 59.69 +00 08 56.5 2.184 20.9 20.7 20.7 20.3 20.4 19.5 NB387 AGN          Co11, Ly20
HSC J095759+015804 09 57 59.01 +01 58 04.7 3.261 23.7 23.3 23.5 23.5 23.4 22.6 NB527 AGN          Has18
HSC J095940+025255 09 59 40.18 +02 52 55.4 3.317 23.9 23.6 23.5 23.4 23.4 22.5 NB527 AGN          Has18
HSC J100013+013704 10 00 13.54 +01 37 04.6 3.489 27.0 26.8 26.2 26.0 26.1 24.5 NB527              Has18
HSC J100017+021657 10 00 17.38 +02 16 57.5 3.295 25.6 25.1 24.8 24.7 24.5 23.9 NB527              Ta17
HSC J100033+021825 10 00 33.33 +02 18 25.3 3.288 25.2 24.8 24.6 24.6 24.6 24.1 NB527              Ta17
HSC J100057+023932 10 00 57.80 +02 39 32.6 3.360 23.5 22.9 22.8 22.8 22.8 22.3 NB527 AGN          Co11, Mas12
HSC J100113+014541 10 01 13.46 +01 45 41.8 3.310 25.9 25.4 25.2 25.0 25.0 24.0 NB527              Has18
HSC J100220+020453 10 02 20.39 +02 04 53.0 3.326 24.3 24.1 23.8 23.6 23.3 22.3 NB527 AGN          Co11, Has18
HSC J095820+021658 09 58 20.94 +02 16 58.5 4.909 28.7 27.5 25.5 25.3 25.8 24.0 NB718 AGN          Ma12, Has18
HSC J095830+020631 09 58 30.61 +02 06 31.2 4.891 99.0 27.3 25.0 24.9 25.0 24.1 NB718              Ma12, Has18
HSC J095929+022950 09 59 29.35 +02 29 50.2 4.841 99.0 27.9 25.7 26.0 26.0 24.9 NB718              Ma12, Has18
HSC J095950+022451 09 59 50.03 +02 24 51.5 4.843 99.0 28.5 26.6 27.4 28.6 25.9 NB718              Ma12, Has18
HSC J095956+015451 09 59 56.14 +01 54 51.5 4.844 99.0 29.4 26.5 27.4 28.0 25.6 NB718              Ma12, Has18
HSC J100004+020845 10 00 04.17 +02 08 45.6 4.840 99.0 26.6 25.0 25.2 25.2 24.2 NB718              Ma12, Has18
HSC J100008+023456 10 00 08.76 +02 34 56.5 4.868 99.0 28.2 26.7 26.8 26.4 25.7 NB718              Has18
HSC J100030+013621 10 00 30.43 +01 36 21.7 4.844 29.2 27.5 25.7 26.0 25.9 25.0 NB718              Ma12, Has18
